"","Consensus","Controversy","Human-caused","Natural causes","Impact people","Impact plants and animals","Impacts on physical Earth","Science issue","Social issue","Adaptation","Mitigation","Global","Local","Regional or national","Current issue","Future issue","Negative or fearful","Positive or hopeful"
"Consensus","1.00","","","","","","","","","","","","","","","","",""
"Controversy","0.51*","1.00","","","","","","","","","","","","","","","",""
"Human-caused","0.39","−0.12","1.00","","","","","","","","","","","","","","",""
"Natural causes","−0.02","−0.19","0.43","1.00","","","","","","","","","","","","","",""
"Impact people","−0.03","−0.27","−0.17","−0.22","1.00","","","","","","","","","","","","",""
"Impact plants and animals","−0.08","−0.30","0.21","−0.07","0.21","1.00","","","","","","","","","","","",""
"Impacts on physical Earth","0.13","−0.23","0.48","0.43","−0.19","0.25","1.00","","","","","","","","","","",""
"Science issue","0.16","−0.20","0.66**","0.83***","−0.15","0.14","0.74","1.00","","","","","","","","","",""
"Social issue","0.00","−0.26","−0.30","−0.36","0.88***","0.03","−0.32","−0.33","1.00","","","","","","","","",""
"Adaptation","0.22","−0.04","−0.23","−0.23","0.16","0.20","−0.23","−0.18","0.20","1.00","","","","","","","",""
"Mitigation","0.07","−0.19","−0.17","−0.28","0.22","−0.26","−0.30","−0.26","0.63","0.26","1.00","","","","","","",""
"Global","0.17","−0.20","0.63","0.84***","−0.05","0.11","0.66","0.99***","−0.23","−0.14","−0.23","1.00","","","","","",""
"Local","−0.12","−0.29","−0.19","−0.19","0.92***","0.33","−0.09","−0.12","0.79","0.11","0.16","−0.06","1.00","","","","",""
"Regional or national","−0.11","−0.30","0.20","0.18","−0.02","0.13","0.69","0.39","−0.13","−0.32","−0.21","0.32","−0.02","1.00","","","",""
"Current issue","0.23","−0.21","0.46","0.43","−0.16","0.10","0.82","0.75**","−0.16","−0.24","0.00","0.70","−0.14","0.54","1.00","","",""
"Future issue","−0.09","−0.33","−0.10","−0.20","0.85***","0.23","0.02","−0.10","0.79","−0.11","0.21","−0.04","0.86","0.12","0.00","1.00","",""
"Negative or fearful","−0.12","−0.34","−0.05","−0.12","0.90***","0.26","−0.08","−0.01","0.81","0.04","0.27","0.08","0.86","0.05","−0.02","0.86","1.00",""
"Positive or hopeful","0.01","−0.23","−0.22","0.04","0.24","−0.29","−0.21","−0.07","0.55","0.13","0.72","−0.02","0.25","−0.24","−0.06","0.22","0.21","1.00"
